,성공적인 직업생활,점수,등급,백분위,표준점수,농업 기초 기술,점수,등급,백분위,표준점수,공업 일반,점수,등급,백분위,표준점수,상업 경제,점수,등급,백분위,표준점수,수산·해운 산업 기초,점수,등급,백분위,표준점수,인간발달,점수,등급,백분위,표준점수,생활과 윤리,점수,등급,백분위,표준점수,윤리와 사상,점수,등급,백분위,표준점수,한국지리,점수,등급,백분위,표준점수,세계지리,점수,등급,백분위,표준점수,동아시아사,점수,등급,백분위,표준점수,세계사,점수,등급,백분위,표준점수,경제,점수,등급,백분위,표준점수,정치와 법,점수,등급,백분위,표준점수,사회·문화,점수,등급,백분위,표준점수,물리학 Ⅰ,점수,등급,백분위,표준점수,화학 Ⅰ,점수,등급,백분위,표준점수,생명과학 Ⅰ,점수,등급,백분위,표준점수,지구과학 Ⅰ,점수,등급,백분위,표준점수,물리학 Ⅱ,점수,등급,백분위,표준점수,화학 Ⅱ,점수,등급,백분위,표준점수,생명과학 Ⅱ,점수,등급,백분위,표준점수,지구과학 Ⅱ,점수,등급,백분위,표준점수
25,,25.0,6.0,36.0,46.0,,22.0,5.0,40.0,47.0,,25.0,6.0,23.0,41.0,,25.0,4.0,64.0,52.0,,-17.0,9.0,100.0,0.0,,25.0,5.0,40.0,45.0,,25.0,6.0,23.0,41.0,,26.0,6.0,38.0,44.0,,26.0,6.0,25.0,41.0,,25.0,6.0,25.0,41.0,,26.0,6.0,28.0,42.0,,25.0,6.0,27.0,41.0,,26.0,6.0,28.0,42.0,,26.0,6.0,21.0,39.0,,25.0,6.0,29.0,43.0,,25.0,5.0,42.0,47.0,,25.0,6.0,27.0,43.0,,25.0,5.0,39.0,47.0,,25.0,5.0,49.0,49.0,,25.0,6.0,33.0,43.0,,25.0,6.0,33.0,44.0,,25.0,6.0,35.0,44.0,,25.0,5.0,56.0,52.0
26,,24.0,6.0,32.0,45.0,,21.0,6.0,36.0,46.0,,24.0,7.0,19.0,40.0,,24.0,4.0,62.0,51.0,,-17.0,9.0,100.0,0.0,,24.0,6.0,32.0,44.0,,24.0,7.0,20.0,40.0,,25.0,6.0,34.0,43.0,,25.0,6.0,22.0,40.0,,24.0,7.0,21.0,40.0,,25.0,6.0,24.0,41.0,,24.0,6.0,21.0,40.0,,25.0,6.0,24.0,41.0,,25.0,7.0,17.0,38.0,,24.0,6.0,27.0,42.0,,24.0,5.0,40.0,46.0,,24.0,6.0,25.0,42.0,,24.0,6.0,37.0,46.0,,24.0,5.0,47.0,48.0,,24.0,6.0,30.0,42.0,,24.0,6.0,31.0,43.0,,24.0,6.0,32.0,43.0,,24.0,5.0,53.0,51.0
27,,23.0,6.0,28.0,44.0,,20.0,6.0,32.0,45.0,,23.0,7.0,14.0,39.0,,23.0,4.0,60.0,50.0,,-17.0,9.0,100.0,0.0,,23.0,6.0,28.0,43.0,,23.0,7.0,18.0,39.0,,24.0,6.0,30.0,42.0,,24.0,7.0,18.0,39.0,,23.0,7.0,17.0,39.0,,24.0,7.0,20.0,40.0,,23.0,7.0,15.0,39.0,,24.0,7.0,20.0,40.0,,24.0,7.0,14.0,37.0,,23.0,6.0,25.0,41.0,,23.0,6.0,37.0,45.0,,23.0,6.0,23.0,41.0,,23.0,6.0,35.0,45.0,,23.0,5.0,44.0,47.0,,23.0,6.0,25.0,41.0,,23.0,6.0,29.0,42.0,,23.0,6.0,28.0,42.0,,23.0,5.0,51.0,50.0
28,,21.0,6.0,24.0,42.0,,19.0,6.0,28.0,44.0,,22.0,7.0,11.0,38.0,,22.0,5.0,57.0,49.0,,-17.0,9.0,100.0,0.0,,22.0,6.0,23.0,42.0,,22.0,7.0,16.0,38.0,,23.0,6.0,26.0,41.0,,23.0,7.0,16.0,38.0,,22.0,7.0,13.0,38.0,,23.0,7.0,18.0,39.0,,22.0,7.0,11.0,38.0,,23.0,7.0,18.0,39.0,,23.0,7.0,11.0,36.0,,22.0,6.0,23.0,40.0,,22.0,6.0,34.0,44.0,,22.0,7.0,21.0,40.0,,22.0,6.0,32.0,44.0,,22.0,5.0,40.0,46.0,,22.0,7.0,20.0,40.0,,22.0,6.0,25.0,41.0,,22.0,6.0,26.0,41.0,,22.0,5.0,48.0,49.0
29,,20.0,7.0,21.0,41.0,,18.0,6.0,24.0,43.0,,21.0,8.0,8.0,37.0,,21.0,5.0,54.0,48.0,,-17.0,9.0,100.0,0.0,,21.0,7.0,17.0,41.0,,21.0,7.0,13.0,37.0,,22.0,6.0,21.0,40.0,,22.0,7.0,12.0,37.0,,21.0,7.0,9.0,37.0,,22.0,7.0,14.0,38.0,,21.0,8.0,7.0,37.0,,22.0,7.0,14.0,38.0,,22.0,8.0,8.0,35.0,,21.0,7.0,19.0,39.0,,21.0,6.0,32.0,43.0,,21.0,7.0,19.0,39.0,,21.0,6.0,30.0,43.0,,21.0,6.0,36.0,45.0,,21.0,7.0,16.0,39.0,,21.0,7.0,21.0,40.0,,21.0,6.0,23.0,40.0,,21.0,5.0,45.0,48.0
30,,19.0,7.0,17.0,40.0,,17.0,7.0,22.0,42.0,,20.0,8.0,5.0,36.0,,20.0,5.0,48.0,47.0,,-17.0,9.0,100.0,0.0,,20.0,7.0,11.0,40.0,,20.0,7.0,10.0,36.0,,21.0,7.0,15.0,39.0,,21.0,8.0,7.0,36.0,,20.0,8.0,6.0,36.0,,21.0,7.0,10.0,37.0,,20.0,8.0,4.0,36.0,,21.0,8.0,10.0,37.0,,21.0,8.0,5.0,34.0,,20.0,7.0,16.0,38.0,,20.0,6.0,28.0,42.0,,20.0,7.0,16.0,38.0,,20.0,6.0,27.0,42.0,,20.0,6.0,33.0,44.0,,20.0,7.0,12.0,38.0,,20.0,7.0,17.0,39.0,,20.0,7.0,18.0,39.0,,20.0,5.0,43.0,47.0
31,,18.0,7.0,14.0,39.0,,16.0,7.0,20.0,41.0,,19.0,8.0,3.0,35.0,,19.0,5.0,42.0,46.0,,-17.0,9.0,100.0,0.0,,19.0,8.0,8.0,39.0,,19.0,8.0,9.0,35.0,,20.0,7.0,13.0,38.0,,20.0,8.0,5.0,35.0,,19.0,8.0,3.0,35.0,,20.0,8.0,7.0,36.0,,19.0,9.0,2.0,35.0,,20.0,8.0,8.0,36.0,,20.0,8.0,3.0,33.0,,19.0,7.0,14.0,37.0,,19.0,6.0,23.0,41.0,,19.0,7.0,14.0,37.0,,19.0,6.0,25.0,41.0,,19.0,6.0,30.0,43.0,,19.0,8.0,8.0,37.0,,19.0,7.0,12.0,38.0,,19.0,7.0,14.0,38.0,,19.0,5.0,40.0,46.0
32,,17.0,7.0,12.0,38.0,,15.0,7.0,17.0,40.0,,18.0,9.0,2.0,34.0,,18.0,6.0,37.0,45.0,,-17.0,9.0,100.0,0.0,,18.0,8.0,5.0,38.0,,18.0,8.0,8.0,34.0,,19.0,7.0,9.0,37.0,,19.0,8.0,3.0,34.0,,18.0,9.0,2.0,34.0,,19.0,8.0,5.0,35.0,,18.0,9.0,1.0,34.0,,19.0,8.0,5.0,35.0,,19.0,9.0,2.0,32.0,,18.0,7.0,12.0,36.0,,18.0,7.0,20.0,40.0,,18.0,7.0,12.0,36.0,,18.0,6.0,22.0,40.0,,18.0,6.0,26.0,42.0,,18.0,8.0,6.0,36.0,,18.0,8.0,8.0,37.0,,18.0,7.0,12.0,37.0,,18.0,6.0,37.0,45.0
33,,16.0,8.0,9.0,37.0,,14.0,7.0,13.0,39.0,,17.0,9.0,1.0,33.0,,17.0,6.0,32.0,44.0,,-17.0,9.0,100.0,0.0,,17.0,9.0,3.0,37.0,,17.0,8.0,5.0,33.0,,18.0,8.0,6.0,36.0,,18.0,9.0,2.0,33.0,,17.0,9.0,1.0,33.0,,18.0,9.0,3.0,34.0,,17.0,9.0,0.0,33.0,,18.0,9.0,3.0,34.0,,18.0,9.0,1.0,31.0,,17.0,8.0,9.0,35.0,,17.0,7.0,17.0,39.0,,17.0,8.0,10.0,35.0,,17.0,7.0,20.0,39.0,,17.0,6.0,23.0,41.0,,17.0,8.0,3.0,35.0,,17.0,8.0,6.0,36.0,,17.0,8.0,9.0,36.0,,17.0,6.0,34.0,44.0
34,,15.0,8.0,8.0,36.0,,13.0,8.0,9.0,38.0,,16.0,9.0,0.0,32.0,,16.0,6.0,27.0,43.0,,-17.0,9.0,100.0,0.0,,16.0,9.0,1.0,36.0,,16.0,9.0,3.0,32.0,,17.0,8.0,4.0,35.0,,17.0,9.0,1.0,32.0,,16.0,9.0,0.0,32.0,,17.0,9.0,2.0,33.0,,16.0,9.0,0.0,32.0,,17.0,9.0,2.0,33.0,,17.0,9.0,0.0,30.0,,16.0,8.0,6.0,34.0,,16.0,7.0,13.0,38.0,,16.0,8.0,8.0,34.0,,16.0,7.0,15.0,38.0,,16.0,7.0,20.0,40.0,,16.0,9.0,2.0,34.0,,16.0,8.0,4.0,35.0,,16.0,8.0,5.0,35.0,,16.0,6.0,31.0,43.0
35,,14.0,8.0,6.0,35.0,,12.0,8.0,8.0,37.0,,14.0,9.0,0.0,30.0,,15.0,6.0,23.0,42.0,,-17.0,9.0,100.0,0.0,,15.0,9.0,1.0,35.0,,15.0,9.0,1.0,31.0,,16.0,9.0,2.0,34.0,,16.0,9.0,0.0,31.0,,14.0,9.0,0.0,30.0,,16.0,9.0,1.0,32.0,,-16.0,9.0,100.0,0.0,,16.0,9.0,1.0,32.0,,15.0,9.0,0.0,28.0,,15.0,8.0,4.0,33.0,,15.0,7.0,11.0,37.0,,15.0,8.0,6.0,33.0,,15.0,7.0,12.0,37.0,,15.0,7.0,17.0,39.0,,15.0,9.0,1.0,33.0,,15.0,9.0,3.0,34.0,,15.0,9.0,3.0,34.0,,15.0,6.0,28.0,42.0
36,,13.0,8.0,5.0,34.0,,11.0,8.0,6.0,36.0,,-16.0,9.0,100.0,0.0,,14.0,7.0,18.0,41.0,,-17.0,9.0,100.0,0.0,,14.0,9.0,1.0,34.0,,14.0,9.0,1.0,30.0,,15.0,9.0,1.0,33.0,,15.0,9.0,0.0,30.0,,-16.0,9.0,100.0,0.0,,15.0,9.0,1.0,31.0,,-16.0,9.0,100.0,0.0,,15.0,9.0,1.0,31.0,,-13.0,9.0,100.0,0.0,,14.0,9.0,3.0,32.0,,14.0,8.0,9.0,36.0,,14.0,8.0,5.0,32.0,,14.0,8.0,9.0,36.0,,14.0,7.0,12.0,38.0,,14.0,9.0,1.0,32.0,,14.0,9.0,1.0,33.0,,14.0,9.0,2.0,33.0,,14.0,6.0,25.0,41.0
37,,12.0,8.0,4.0,33.0,,10.0,8.0,5.0,35.0,,-16.0,9.0,100.0,0.0,,13.0,7.0,14.0,40.0,,-17.0,9.0,100.0,0.0,,13.0,9.0,0.0,33.0,,13.0,9.0,0.0,29.0,,14.0,9.0,0.0,32.0,,14.0,9.0,0.0,29.0,,-16.0,9.0,100.0,0.0,,14.0,9.0,0.0,30.0,,-16.0,9.0,100.0,0.0,,14.0,9.0,0.0,30.0,,-13.0,9.0,100.0,0.0,,13.0,9.0,2.0,31.0,,13.0,8.0,6.0,35.0,,13.0,8.0,4.0,31.0,,13.0,8.0,7.0,35.0,,13.0,8.0,8.0,37.0,,13.0,9.0,0.0,31.0,,13.0,9.0,1.0,32.0,,13.0,9.0,1.0,32.0,,13.0,6.0,21.0,40.0
38,,11.0,9.0,3.0,32.0,,9.0,8.0,4.0,34.0,,-16.0,9.0,100.0,0.0,,12.0,8.0,9.0,39.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,12.0,9.0,0.0,28.0,,13.0,9.0,0.0,31.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,13.0,9.0,0.0,29.0,,-16.0,9.0,100.0,0.0,,12.0,9.0,0.0,28.0,,-13.0,9.0,100.0,0.0,,12.0,9.0,1.0,30.0,,12.0,8.0,4.0,34.0,,12.0,9.0,2.0,30.0,,12.0,8.0,5.0,34.0,,12.0,8.0,6.0,36.0,,12.0,9.0,0.0,30.0,,12.0,9.0,1.0,31.0,,12.0,9.0,0.0,31.0,,12.0,7.0,17.0,39.0
39,,10.0,9.0,2.0,31.0,,8.0,9.0,3.0,33.0,,-16.0,9.0,100.0,0.0,,11.0,8.0,7.0,38.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,10.0,9.0,0.0,26.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,12.0,9.0,0.0,28.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,11.0,9.0,1.0,29.0,,11.0,9.0,3.0,33.0,,11.0,9.0,2.0,29.0,,11.0,8.0,4.0,33.0,,11.0,8.0,4.0,35.0,,-18.0,9.0,100.0,0.0,,11.0,9.0,0.0,30.0,,10.0,9.0,0.0,29.0,,11.0,7.0,14.0,38.0
40,,9.0,9.0,2.0,30.0,,7.0,9.0,2.0,32.0,,-16.0,9.0,100.0,0.0,,10.0,8.0,5.0,37.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,10.0,9.0,0.0,28.0,,10.0,9.0,1.0,32.0,,10.0,9.0,1.0,28.0,,10.0,9.0,2.0,32.0,,10.0,9.0,2.0,34.0,,-18.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,10.0,7.0,11.0,37.0
41,,8.0,9.0,1.0,29.0,,5.0,9.0,1.0,30.0,,-16.0,9.0,100.0,0.0,,9.0,9.0,3.0,36.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,8.0,9.0,0.0,26.0,,9.0,9.0,1.0,31.0,,9.0,9.0,0.0,27.0,,9.0,9.0,2.0,31.0,,9.0,9.0,1.0,33.0,,-18.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,9.0,8.0,8.0,36.0
42,,7.0,9.0,1.0,28.0,,4.0,9.0,1.0,29.0,,-16.0,9.0,100.0,0.0,,8.0,9.0,2.0,35.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,8.0,9.0,0.0,30.0,,8.0,9.0,0.0,26.0,,8.0,9.0,1.0,30.0,,8.0,9.0,1.0,32.0,,-18.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,8.0,8.0,5.0,35.0
43,,6.0,9.0,1.0,27.0,,2.0,9.0,0.0,27.0,,-16.0,9.0,100.0,0.0,,7.0,9.0,1.0,34.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,7.0,9.0,0.0,29.0,,7.0,9.0,0.0,25.0,,7.0,9.0,1.0,29.0,,7.0,9.0,0.0,31.0,,-18.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,7.0,9.0,3.0,34.0
44,,5.0,9.0,0.0,26.0,,-25.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,6.0,9.0,1.0,33.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,5.0,9.0,0.0,27.0,,6.0,9.0,0.0,24.0,,6.0,9.0,0.0,28.0,,6.0,9.0,0.0,30.0,,-18.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,6.0,9.0,1.0,33.0
45,,4.0,9.0,0.0,25.0,,-25.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,5.0,9.0,0.0,32.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-22.0,9.0,100.0,0.0,,4.0,9.0,0.0,22.0,,5.0,9.0,0.0,27.0,,-24.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,5.0,9.0,1.0,32.0
46,,3.0,9.0,0.0,24.0,,-25.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,4.0,9.0,0.0,31.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-22.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,3.0,9.0,0.0,25.0,,-24.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,4.0,9.0,0.0,31.0
47,,2.0,9.0,0.0,23.0,,-25.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,2.0,9.0,0.0,29.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-22.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-22.0,9.0,100.0,0.0,,-24.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,2.0,9.0,0.0,29.0
48,,1.0,9.0,0.0,22.0,,-25.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-27.0,9.0,100.0,0.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-22.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-22.0,9.0,100.0,0.0,,-24.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-27.0,9.0,100.0,0.0
49,,-1.0,9.0,0.0,20.0,,-25.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-27.0,9.0,100.0,0.0,,-17.0,9.0,100.0,0.0,,-20.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-15.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-16.0,9.0,100.0,0.0,,-13.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-22.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-22.0,9.0,100.0,0.0,,-24.0,9.0,100.0,0.0,,-18.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-19.0,9.0,100.0,0.0,,-27.0,9.0,100.0,0.0
50,,-21.0,9.0,150.0,0.0,,-25.0,9.0,150.0,0.0,,-16.0,9.0,150.0,0.0,,-27.0,9.0,150.0,0.0,,-17.0,9.0,148.0,0.0,,-20.0,9.0,150.0,0.0,,-16.0,9.0,150.0,0.0,,-18.0,9.0,150.0,0.0,,-15.0,9.0,150.0,0.0,,-16.0,9.0,150.0,0.0,,-16.0,9.0,150.0,0.0,,-16.0,9.0,150.0,0.0,,-16.0,9.0,150.0,0.0,,-13.0,9.0,150.0,0.0,,-18.0,9.0,150.0,0.0,,-22.0,9.0,150.0,0.0,,-18.0,9.0,150.0,0.0,,-22.0,9.0,150.0,0.0,,-24.0,9.0,150.0,0.0,,-18.0,9.0,150.0,0.0,,-19.0,9.0,150.0,0.0,,-19.0,9.0,150.0,0.0,,-27.0,9.0,150.0,0.0
