등급,성공적인 직업생활,,,농업 기초 기술,,,공업 일반,,,상업 경제,,,등급,수산·해운 산업 기초,,,인간발달,,
,등급,인원(명),비율(%),등급,인원(명),비율(%),등급,인원(명),비율(%),등급,인원(명),비율(%),,등급,인원(명),비율(%),등급,인원(명),비율(%)
,구분 점수,,,구분 점수,,,구분 점수,,,구분 점수,,,,구분 점수,,,구분 점수,,
1,68,232,5.20,67,15,6.33,66,114,7.47,70,91,5.04,1,66,2,6.45,70,62,5.92
2,63,309,6.93,64,17,7.17,64,148,9.69,65,116,6.42,2,65,2,6.45,66,67,6.39
3,59,513,11.50,58,27,11.39,61,123,8.06,58,218,12.07,3,58,5,16.13,60,115,10.97
4,52,838,18.79,54,36,15.19,52,237,15.52,50,327,18.11,4,54,4,12.90,49,178,16.98
5,47,874,19.60,47,50,21.10,45,305,19.97,46,336,18.60,5,46,6,19.35,45,264,25.19
6,42,703,15.76,43,39,16.46,41,274,17.94,42,346,19.16,6,43,5,16.13,42,140,13.36
7,38,530,11.88,39,29,12.24,38,179,11.72,40,178,9.86,7,37,4,12.90,40,126,12.02
8,33,306,6.86,34,17,7.17,35,116,7.60,37,126,6.98,8,37미만,3,9.68,38,56,5.34
9,33미만,155,3.48,34미만,7,2.95,35미만,31,2.03,37미만,68,3.77,9,ㅡ,ㅡ,ㅡ,38미만,40,3.82